Date	Ticker	Net Dividend	Tax Collected	Shares
2024-05-31	SBUX.US	1.71 USD	30%	3.0
2024-06-12	MMM.US	2.1 USD	30%	3.0
2024-06-27	ASB.PL	12.0 USD	0	40.0
2024-08-30	SBUX.US	1.71 USD	15%	3.0
2024-09-02	INTC.US	2.88 USD	15%	23.0
2024-09-12	MMM.US	2.1 USD	15%	3.0
2024-11-29	SBUX.US	1.83 USD	15%	3.0
2024-12-05	ASB.PL	22.0 USD	0	110.0
